A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20
63,55,90,58,30,4,71,61,33,85,89,73,4,51,5,50,68,3,85,6
95,39,49,20,67,26,63,77,96,81,65,60,36,55,70,18,11,42,32,96
79,21,70,84,72,27,34,40,83,72,98,30,63,47,50,30,73,14,59,22
